,player_name,height,weight,birth_date,active_from,active_to,position,years_played_NBA,college,NBA_g_played,NBA_per,NBA_fg%,NBA_ppg,NBA_ft%,NBA_fgpg,NBA_fgapg,NBA_ftpg,NBA_ftapg,NBA_3ptpg,NBA_3ptapg,NBA_3pt%,NBA_efg%,NCAA_fg%,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA_3ptpg,NCAA_3ptapg,NCAA_3pt%,go_college
159,James Augustine,82,235.0,1984-02-27,2007,2008,F,1,Illinois,27,11.1,0.514,1.6,0.5,0.7,1.4,0.1,0.3,0.0,0.0,0.0,0.514,0.617,137.0,10.1,0.687,3.9,6.3,2.3,3.3,0.0,0.1,0.333,True
160,Isaac Austin,82,255.0,1969-08-18,1992,2002,C,10,Arizona State,432,13.0,0.446,7.6,0.67,3.0,6.7,1.6,2.4,0.0,0.1,0.176,0.448,0.559,61.0,15.0,0.637,5.8,10.3,3.4,5.4,0.0,0.0,0.0,True
161,Johnny Austin,72,170.0,1944-08-31,1967,1968,G,1,Boston College,45,9.3,0.375,7.6,0.731,2.5,6.7,2.5,3.5,0.0,0.3,0.0,0.375,0.445,68.0,27.0,0.795,9.6,21.7,7.7,9.7,0.0,0.0,0.0,True
162,Ken Austin,81,205.0,1961-07-15,1984,1984,F,0,Rice University,7,5.6,0.462,1.7,0.0,0.9,1.9,0.0,0.0,0.0,0.0,0.0,0.462,0.486,91.0,10.3,0.59,4.2,8.6,2.0,3.4,0.0,0.0,0.0,True
163,Deni Avdija,81,210.0,2001-01-03,2021,2022,G-F,1,nan,74,8.6,0.419,6.3,0.645,2.4,5.6,0.7,1.0,0.9,2.9,0.315,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
164,Anthony Avent,81,235.0,1969-10-18,1993,2000,F,7,Seton Hall,352,8.8,0.403,5.6,0.686,2.3,5.7,0.9,1.4,0.0,0.0,0.0,0.403,0.527,100.0,10.7,0.701,4.2,7.9,2.4,3.4,0.0,0.0,,True
165,Bird Averitt,73,170.0,1952-07-22,1974,1978,G,4,Pepperdine,366,12.5,0.405,12.1,0.743,4.8,11.8,2.4,3.3,0.2,1.0,0.249,0.412,0.442,49.0,31.4,0.713,12.6,28.4,6.3,8.9,0.0,0.0,0.0,True
166,William Avery,74,197.0,1979-08-08,2000,2002,G,2,Duke,142,7.3,0.33,2.7,0.714,1.0,2.9,0.5,0.6,0.3,1.1,0.255,0.378,0.47,74.0,11.9,0.784,4.1,8.7,2.2,2.8,1.5,4.0,0.369,True
167,Dennis Awtrey,82,235.0,1948-02-22,1971,1982,C,11,Santa Clara,733,10.5,0.459,4.8,0.652,1.9,4.1,1.0,1.6,0.0,0.0,0.0,0.459,0.578,84.0,19.9,0.715,7.7,13.3,4.6,6.4,0.0,0.0,0.0,True
168,Joel Ayayi,77,180.0,2000-03-05,2022,2022,G,0,Gonzaga,3,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,88.0,8.8,0.776,3.4,6.3,1.2,1.5,0.9,2.6,0.36,True
169,Gustavo Ayón,82,250.0,1985-04-01,2012,2014,C,2,nan,135,14.7,0.536,4.7,0.504,2.1,3.9,0.5,1.0,0.0,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
170,Jeff Ayres,81,240.0,1987-04-29,2010,2016,F,6,Arizona State,237,12.4,0.553,2.9,0.776,1.2,2.2,0.5,0.6,0.0,0.0,0.4,0.555,0.58,126.0,12.6,0.764,4.8,8.4,2.9,3.8,0.0,0.1,0.0,True
